youtube_id,title,channel_name,subscribers,view_count,upload_date,extracted_date,video_url,description,product_count,product_name,product_price,product_image_url,product_merchant_url,product_merchant
8ui21mhg7VM,자취브이로그🏠 매일도시락싸는 자취생 일상🍱 /식비절약💸/도시락도 락이다. 나에게 행복을 주니까... ^^/ 식단관리 전 마지막 발악 도시락브이로그/간장찜닭/또띠아샌드위치/갓생,칡촉 ChicChoc,33000,41527,2024-07-18,2025-05-27,https://www.youtube.com/watch?v=8ui21mhg7VM,"도시락브이로그 #요리브이로그 #자취브이로그#asmr도시락브이로그 #요리브이로그 #자취브이로그#asmr …...더보기
...더보기
칡촉 ChicChoc이(가) 태그된 제품에 대해 수수료를 받습니다. 자세히 알아보기
실리샵 국산 플래티넘 실리콘 도시락통 전자레인지용기 500ml 1개 라이트그레이
₩16,900
                쿠팡!
link.coupang.com/re/AFYOUTUBE?pageKey=6888112631&ctag=6888112631&itemId=16527853819&vendorItemId=83714794447
쇼핑하기
쿠팡!
다소다 도시락가방 직장인 보온 보냉 백 도시락통 주머니 베이지체크 22 x 13 x 21 cm 1개
₩7,490
                쿠팡!
link.coupang.com/re/AFYOUTUBE?pageKey=7198782455&ctag=7198782455&itemId=18191531175&vendorItemId=85352523255
쇼핑하기
쿠팡!
스크립트
스크립트를 보면서 시청하세요.
스크립트 표시
칡촉 ChicChoc
      구독자 3.3만명
동영상
정보
동영상정보
간략히",0,,0,,,
5T-wrwPSfrs,+3kg 직장인  도시락 만들기🍱 샌드위치 폭격 (유행하는 그 샌드위치 아님주의) 식비절약💸/ 자취요리/도시락 브이로그/낫또 포케/lunchbox/korean cooking,칡촉 ChicChoc,33000,22058,2025-04-09,2025-05-27,https://www.youtube.com/watch?v=5T-wrwPSfrs,"#도시락브이로그#요리브이로그#자취브이로그#lunchbox #food #자취요리#koreanfoodrecipes
🐔 한끼통살 구매링크 (* 소정의 수수료를 받습니다)
       https://shorturl.at/4Bonr#도시락브이로그#요리브이로그#자취브이로그#lunchbox #food #자취요리#koreanfoodrecipes
🐔 한끼통살 구매링크 (* 소정의 수수료를 받습니다) …...더보기
...더보기
칡촉 ChicChoc이(가) 태그된 제품에 대해 수수료를 받습니다. 자세히 알아보기
갈배사이다 30개 210ml
₩15,500
                쿠팡
link.coupang.com/re/AFYOUTUBE?pageKey=8615257670&ctag=8615257670&itemId=24991081945&vendorItemId=91996435134
쇼핑하기
쿠팡
튀긴 양파 후레이크 500g 1개
₩6,380
                쿠팡!
link.coupang.com/re/AFYOUTUBE?pageKey=8316217635&ctag=8316217635&itemId=24000463537&vendorItemId=91021324251
쇼핑하기
쿠팡!
다소다 도시락가방 직장인 보온 보냉 백 도시락통 주머니 베이지체크 22 x 13 x 21 cm 1개
₩7,490
                쿠팡!
link.coupang.com/re/AFYOUTUBE?pageKey=7198782455&ctag=7198782455&itemId=18191531175&vendorItemId=85352523255
쇼핑하기
쿠팡!
실리샵 국산 플래티넘 실리콘 도시락통 전자레인지용기 500ml 1개 라이트그레이
₩16,900
                쿠팡!
link.coupang.com/re/AFYOUTUBE?pageKey=6888112631&ctag=6888112631&itemId=16527853819&vendorItemId=83714794447
쇼핑하기
쿠팡!
이케아 미닥시에스트 수저세트+케이스 블루 1개
₩2,900
                쿠팡
link.coupang.com/re/AFYOUTUBE?pageKey=5493907260&ctag=5493907260&itemId=14513613146&vendorItemId=81756508381
쇼핑하기
쿠팡
스크립트
스크립트를 보면서 시청하세요.
스크립트 표시
칡촉 ChicChoc
      구독자 3.3만명
동영상
정보
동영상정보
간략히",0,,0,,,
wDHsdR571uY,이번주도...폭싹 먹었수다...🐽  식비절약 💸 직장인 도시락 만들기🍱 /자취요리/도시락 브이로그/닭볶음탕/포케 도시락/lunchbox/korean cooking,칡촉 ChicChoc,33000,23042,2025-03-18,2025-05-27,https://www.youtube.com/watch?v=wDHsdR571uY,"#도시락브이로그#요리브이로그#자취브이로그#lunchbox #food #자취요리#koreanfoodrecipes#도시락브이로그#요리브이로그#자취브이로그#lunchbox #food #자취요리#koreanfoodrecipes …...더보기
...더보기
칡촉 ChicChoc이(가) 태그된 제품에 대해 수수료를 받습니다. 자세히 알아보기
튀긴 양파 후레이크 500g 1개
₩6,380
                쿠팡!
link.coupang.com/re/AFYOUTUBE?pageKey=7950257425&ctag=7950257425&itemId=21939081556&vendorItemId=88986958503
쇼핑하기
쿠팡!
크리스피크림도넛 오리지널 글레이즈드 141g 1개
재고 한정
                쿠팡!
link.coupang.com/re/AFYOUTUBE?pageKey=1391864201&ctag=1391864201&itemId=16077292436&vendorItemId=83276514511
쇼핑하기
쿠팡!
실리샵 국산 플래티넘 실리콘 도시락통 전자레인지용기 500ml 1개 라이트그레이
₩16,900
                쿠팡!
link.coupang.com/re/AFYOUTUBE?pageKey=6888112631&ctag=6888112631&itemId=16527853819&vendorItemId=83714794447
쇼핑하기
쿠팡!
드롭드롭드롭 딜리백 보온보냉 도시락가방 단일사이즈 1개
₩55,000
                쿠팡
link.coupang.com/re/AFYOUTUBE?pageKey=7642384849&ctag=7642384849&itemId=20311376948&vendorItemId=87397099997
쇼핑하기
쿠팡
다소다 도시락가방 직장인 보온 보냉 백 도시락통 주머니 베이지체크 22 x 13 x 21 cm 1개
₩7,490
                쿠팡!
link.coupang.com/re/AFYOUTUBE?pageKey=7198782455&ctag=7198782455&itemId=18191531175&vendorItemId=85352523255
쇼핑하기
쿠팡!
이케아 미닥시에스트 수저세트+케이스 블루 1개
₩2,900
                쿠팡
link.coupang.com/re/AFYOUTUBE?pageKey=5493907260&ctag=5493907260&itemId=14513613146&vendorItemId=81756508381
쇼핑하기
쿠팡
스크립트
스크립트를 보면서 시청하세요.
스크립트 표시
칡촉 ChicChoc
      구독자 3.3만명
동영상
정보
동영상정보
간략히",0,,0,,,
PM3DnvJ4ifo,연관검색어에 엽떡 뜨는 직장인 도시락 만들기 💸 식비절약 🍱/자취요리/도시락 브이로그 /오트밀참치미역죽/마라엽떡/양념치킨/포케/방어회/lunchbox/korean cooking,칡촉 ChicChoc,33000,114245,2025-01-07,2025-05-27,https://www.youtube.com/watch?v=PM3DnvJ4ifo,"#도시락브이로그#요리브이로그#자취브이로그#lunchbox #food #자취요리#koreanfoodrecipes#도시락브이로그#요리브이로그#자취브이로그#lunchbox #food #자취요리#koreanfoodrecipes …...더보기
...더보기
칡촉 ChicChoc이(가) 태그된 제품에 대해 수수료를 받습니다. 자세히 알아보기
프레시 채소믹스 500g 1개
재고 한정
                쿠팡!
link.coupang.com/re/AFYOUTUBE?pageKey=4917479866&ctag=4917479866&itemId=6437111906&vendorItemId=73731638746
쇼핑하기
쿠팡!
양파후레이크 크리스피 프라이드 어니언 500g 1개
₩9,000
                쿠팡!
link.coupang.com/re/AFYOUTUBE?pageKey=1880467647&ctag=1880467647&itemId=3195509638&vendorItemId=73034306385
쇼핑하기
쿠팡!
실리샵 국산 플래티넘 실리콘 도시락통 전자레인지용기 500ml 1개 라이트그레이
₩16,900
                쿠팡!
link.coupang.com/re/AFYOUTUBE?pageKey=6888112631&ctag=6888112631&itemId=16527853819&vendorItemId=83714794447
쇼핑하기
쿠팡!
다소다 도시락가방 직장인 보온 보냉 백 도시락통 주머니 베이지체크 22 x 13 x 21 cm 1개
₩7,490
                쿠팡!
link.coupang.com/re/AFYOUTUBE?pageKey=7198782455&ctag=7198782455&itemId=18191531175&vendorItemId=85352523255
쇼핑하기
쿠팡!
실리샵 국산 플래티넘 실리콘 밀폐용기 세트 (3colors) 소형X2개 라이트그레이 1개
₩12,900
                쿠팡
link.coupang.com/re/AFYOUTUBE?pageKey=6569944764&ctag=6569944764&itemId=14744282313&vendorItemId=81984717061
쇼핑하기
쿠팡
스크립트
스크립트를 보면서 시청하세요.
스크립트 표시
칡촉 ChicChoc
      구독자 3.3만명
동영상
정보
동영상정보
간략히",0,,0,,,
7kcFrbr8yV4,자취브이로그🏠 매일도시락싸는 자취생 일상 🍱 /식비절약💸/키토김밥🍳/양배추볶음밥/이연복 목란짬뽕/시금치두부요리🥬/냉장고비우기/직장인도시락/자취요리,칡촉 ChicChoc,33000,36278,2023-11-23,2025-05-27,https://www.youtube.com/watch?v=7kcFrbr8yV4,"안녕하세요 
저의 첫 영상을 시청해 주셔서 감사합니다
이번 영상의 도시락은 
키토김밥, 시금치두부요리, 이연복목란짬뽕, 양배추볶음밥입니다.
#자취생브이로그 #요리브이로그 #도시락 #일상브이로그 #집밥브이로그 #직장인도시락 #자취생도시락 #집밥요리 #자취브이로그 #자취요리 #자취요리브이로그 #집밥 #먹방브이로그 #lunchbox #livingalone #dailylife #homebodyvlog #korea #koreanfood안녕하세요 
저의 첫 영상을 시청해 주셔서 감사합니다
이번 영상의 도시락은  …...더보기
...더보기
칡촉 ChicChoc이(가) 태그된 제품에 대해 수수료를 받습니다. 자세히 알아보기
다소다 밀짚 도시락 직사각 850ml + 수저 세트 밀색 1개
재고 한정
                쿠팡!
link.coupang.com/re/AFYOUTUBE?pageKey=6174800827&ctag=6174800827&itemId=12078949855&vendorItemId=79350898451
쇼핑하기
쿠팡!
스크립트
스크립트를 보면서 시청하세요.
스크립트 표시
칡촉 ChicChoc
      구독자 3.3만명
동영상
정보
동영상정보
간략히",0,,0,,,
db70QDh6IWY,자취브이로그🏠 매일도시락싸는 자취생 일상🍱 /식비절약💸/삼겹살 김밥 싸려고 일찍일어나는 직장인/된장찌개/까르보불닭/자취요리,칡촉 ChicChoc,33000,111935,2024-05-08,2025-05-27,https://www.youtube.com/watch?v=db70QDh6IWY,"…...더보기
...더보기
칡촉 ChicChoc이(가) 태그된 제품에 대해 수수료를 받습니다. 자세히 알아보기
실리샵 국산 플래티넘 실리콘 도시락통 전자레인지용기 500ml 1개 딥그레이
₩16,900
                쿠팡!
link.coupang.com/re/AFYOUTUBE?pageKey=6888112631&ctag=6888112631&itemId=16527853818&vendorItemId=83714794435
쇼핑하기
쿠팡!
스크립트
스크립트를 보면서 시청하세요.
스크립트 표시
칡촉 ChicChoc
      구독자 3.3만명
동영상
정보
동영상정보
간략히",0,,0,,,
zhPcm_M1D-k,고물가시대 💸 식비절약 🍱 직장인 도시락 만들기 /자취요리/도시락 브이로그 /잡채밥/김치우동/lunchbox/korean cooking,칡촉 ChicChoc,33000,33968,2025-02-24,2025-05-27,https://www.youtube.com/watch?v=zhPcm_M1D-k,"#도시락브이로그#요리브이로그#자취브이로그#자취요리#koreanfoodrecipes#lunchboxideas #food#도시락브이로그#요리브이로그#자취브이로그#자취요리#koreanfoodrecipes#lunchboxideas #food …...더보기
...더보기
칡촉 ChicChoc이(가) 태그된 제품에 대해 수수료를 받습니다. 자세히 알아보기
일본 마요네즈 3구 뚜껑 큐피 양배추소스 연어 마늘빵 덮밥 드레싱 명란마요소스 1개 350g
₩8,090
                쿠팡
link.coupang.com/re/AFYOUTUBE?pageKey=7227154085&ctag=7227154085&itemId=18329591518&vendorItemId=83743861075
쇼핑하기
쿠팡
프레시 채소믹스 500g 1개
재고 한정
                쿠팡!
link.coupang.com/re/AFYOUTUBE?pageKey=4917479866&ctag=4917479866&itemId=6437111906&vendorItemId=73731638746
쇼핑하기
쿠팡!
실리샵 국산 플래티넘 실리콘 도시락통 전자레인지용기 500ml 1개 라이트그레이
₩16,900
                쿠팡!
link.coupang.com/re/AFYOUTUBE?pageKey=6888112631&ctag=6888112631&itemId=16527853819&vendorItemId=83714794447
쇼핑하기
쿠팡!
이케아 미닥시에스트 수저세트+케이스 블루 1개
₩2,900
                쿠팡
link.coupang.com/re/AFYOUTUBE?pageKey=5493907260&ctag=5493907260&itemId=14513613146&vendorItemId=81756508381
쇼핑하기
쿠팡
다소다 도시락가방 직장인 보온 보냉 백 도시락통 주머니 베이지체크 22 x 13 x 21 cm 1개
₩7,490
                쿠팡!
link.coupang.com/re/AFYOUTUBE?pageKey=7198782455&ctag=7198782455&itemId=18191531175&vendorItemId=85352523255
쇼핑하기
쿠팡!
곰곰 아삭한 콩나물 300g 1개
₩930
                쿠팡!
link.coupang.com/re/AFYOUTUBE?pageKey=1275124832&ctag=1275124832&itemId=22832473575&vendorItemId=89867216872
쇼핑하기
쿠팡!
스크립트
스크립트를 보면서 시청하세요.
스크립트 표시
칡촉 ChicChoc
      구독자 3.3만명
동영상
정보
동영상정보
간략히",0,,0,,,
MssBZr7aWzs,고물가시대 💸 식비절약하는 자취생 🍱 여름아.. 왜 갔다가 다시오냐....../직장인도시락 /자취요리/도시락브이로그/명절음식도시락/참치포케/처갓집양념치킨/치킨또띠아랩/남은치킨,칡촉 ChicChoc,33000,28153,2024-09-19,2025-05-27,https://www.youtube.com/watch?v=MssBZr7aWzs,"#도시락브이로그#요리브이로그#자취브이로그#lunchbox #food #자취요리#도시락브이로그#요리브이로그#자취브이로그#lunchbox #food #자취요리 …...더보기
...더보기
칡촉 ChicChoc이(가) 태그된 제품에 대해 수수료를 받습니다. 자세히 알아보기
실리샵 국산 플래티넘 실리콘 도시락통 전자레인지용기 500ml 1개 라이트그레이
₩16,900
                쿠팡!
link.coupang.com/re/AFYOUTUBE?pageKey=6888112631&ctag=6888112631&itemId=16527853819&vendorItemId=83714794447
쇼핑하기
쿠팡!
실리샵 국산 플래티넘 실리콘 조약돌 밀폐용기 소(180ml) 라이트그레이 1개
₩8,900
                쿠팡
link.coupang.com/re/AFYOUTUBE?pageKey=6569944766&ctag=6569944766&itemId=14744282326&vendorItemId=81984717144
쇼핑하기
쿠팡
스크립트
스크립트를 보면서 시청하세요.
스크립트 표시
칡촉 ChicChoc
      구독자 3.3만명
동영상
정보
동영상정보
간략히",0,,0,,,
RfnexeOQT44,자취브이로그🏠 매일도시락싸는 자취생 일상🍱 /식비절약💸/유행 따라가고싶은 직장인도시락/갓김치비빔국수/떡국떡요리/떡국떡떡볶이/로제떡볶이/게살덮밥/냉장고비우기/자취요리,칡촉 ChicChoc,33000,19938,2024-02-22,2025-05-27,https://www.youtube.com/watch?v=RfnexeOQT44,"안녕하세요
너무 늦었쬬....?^^;;;;
현생에서 일이많아서 도시락을 못싸다녔어욥 ^.ㅠ
올해목표 일주일 영상 1개씩 올리기였는데
벌써 3월이고 난리부르스입니다 
설 명절은 잘 보내셨나요. 저는 이번에 떡국떡이랑 만두를 한보따리가져와서
당분간 떡국 떡이 많이 등장 할 예정입니다..
질려하지 않기루해요....☆
날씨가 따뜻해지다가 다시 추워졌어요. 
감기조심하시고 오늘도 영상 재밌게봐주시고 기다려주셔서 감사합니다♡
#자취생브이로그 #요리브이로그 #도시락 #일상브이로그 #집밥브이로그 #직장인도시락#자취생도시락 #게살덮밥# 로제떡볶이만들기 #떡국떡요리 #자취브이로그 #자취요리 #자취요리브이로그 #집밥 #먹방브이로그 #lunchbox #livingalone #homebodyvlog #korea #koreanfood #dailylife안녕하세요
너무 늦었쬬....?^^;;;;
현생에서 일이많아서 도시락을 못싸다녔어욥 ^.ㅠ …...더보기
...더보기
스크립트
스크립트를 보면서 시청하세요.
스크립트 표시
칡촉 ChicChoc
      구독자 3.3만명
동영상
정보
동영상정보
간략히",0,,0,,,
